〆切	termination、conclusion、ending、deadline
先読み	advance reading
先日	the other day; a few days ago
先入観	preconception
先輩	elder; senior
先発	starting in advance
先物	forward
千代田区	Chiyoda-ku
千葉	Chiba prefecture; Chiba; Chiba‐ken
千葉県	Chiba prefecture (Kanto area)
千葉商科大学	Chiba Univ. of Commerce
占め	rank、own、have、possess、occupy、fill、take、occupy、fill
占拠	occupation
宣言	declaration; proclamation
宣伝	advertisement; publicity
専業主婦	stay‐at‐home wife; full‐time homemaker
専攻	major
専守防衛	exclusively defense posture; exclusive defense
専任	exclusive duty; fulltimer
専念	absorption; concentration
専門	speciality、specialization、specialty、specialism、specialisation、profession、specialism、speciality、specialization、specialty
専門チャンネル	Pay television
専門医	medical specialist; specialist
専門家	expert; technician; specialist
専門学校	vocational school; professional school; special school
専門機関	specialized agency
専門性	specialty
専門部	Special Services Bureau
専用	single purpose
専用道路	single purpose road; reserved road
尖閣諸島	Senkaku Islands
川	stream; river
川口	Kawaguchi
川崎	Kawasaki
川谷絵音	Enon Kawatani
川邊	Kawanabe
戦	battle、struggle、battle、engagement、fight、conflict、campaign、military campaign、warfare、war
戦い	fight、battle、struggle、battle、engagement、fight、conflict、battle、struggle、conflict
戦っ	vie、contend、compete、fight、contend、struggle、fight、oppose、fight back、defend
戦後	post-bellum; post-war; post war
戦時中	wartime
戦術	tactics
戦線	battle line
戦前	prewar time
戦争	battle; fight; warfare; war
戦争と平和	Guerre et Paix; War and Peace、War and Peace
戦争状態	belligerency
戦争責任	war responsibility
戦争犯罪	war crime
戦中	during the war
戦闘	battle; fight; combat
戦闘機	fighter aircraft; fighter; pursuit airplane
戦法	tactics
戦没者	war victim
戦略	strategy
戦略的	strategic
戦略爆撃機	strategic bomber
戦力	war potential; fighting strength; military power
扇動者	agitator
浅く	shallow、shallow、shallow、superficial
洗い出し	exposing aggregate by washing; wash out; washing finish of stucco; washout; aggregate exposed finish by washing
洗い出し	to reveal something by washing the surface
洗脳	brain washing; brainwashing
染まっ	to be dyed
染み付い	to be indelibly stained or ingrained; to be dyed in deeply
潜	latency
潜り込ん	enter、come in、get into、go into、go in、get in、move into
潜航	underwater navigation
潜行	underwater navigation
潜在	potential; latency; suppressed …; cryptogenic
潜在的	potentially
潜水	dive; diving
潜水艦発射弾道ミサイル	submarine launched ballistic missile
潜入	disappearance; ingress; immersion
旋風	cyclone; whirlwind; tornado
線	striae; wire; line
線引き	dividing line、demarcation、line、contrast
線路	line; permanent way; roadway
繊細	delicate、dainty、exquisite、elfin、elflike、subtle、finespun、delicate、delicate、fine
羨まし	jealously、enviously、covetously
船	vessel; craft; ship; vehicle; watercraft
船舶	ship; watercraft; marine vessel
選	selection; choice; choosing; picking; election
選び	choosing; selecting; deciding (on)
選び	select、choose、pick out、take、pick、elect、opt、prefer、choose、choose
選び出し	select、choose、pick out、take、pick、screen、sieve、screen out、sort
選挙	election; poll
選挙協力	cooperation in election
選挙区	constituency; electoral district
選挙権	right to vote; voting rights; suffrage
選考	selection
選手	player
選手権	championship
選出	choice
選奨	recommendation
選対	election campaign strategy; election tactics
選択	choice; selection; option
選択肢	choices; alternatives
選定	choice; selection
選任	assignment
選抜高校野球大会	Spring National Invitational High School Baseball Tournament
選別	screening; discrimination; sorting out; separation; sorting; selection
遷移	succession; transition; ecological succession
遷都	transfer of capital
銭	money
鮮やか	splendid、glorious、resplendent、splendiferous、intense、vivid、vivid、clear-cut、clear、clean-cut
鮮明	clear-cut、trenchant、distinct、vivid、clear、distinct、clear-cut、clear、clean-cut、sharp
鮮烈	vivid
前	former; front
前々回	the time before last; last time but one
前回	last time
前月	past month
前後	sagittal; S; before and behind
前向き	antrorse; forward‐looking; positive light
前向きに検討	Positively review；Positively consider
前座	curtain raiser; opening performance
前者	former
前週	last week; the week before
前述	preceding
前身	predecessor
前進	ongoing; advancement; advance
前人未到	untrodden (region、field of study、etc.); unprecedented (discovery、achievement、etc.)
前節	propodite; propodus; primerite; protomerite
前線	front
前大統領	ex-president
前置き	introductory remark; introduction
前兆	sign; prodrome; omen; precursory phenomenon; aura; forerunning phenomenon; symptom; signal symptom
前提	premise
前倒し	ahead‐of‐schedule
前日	eve
前任	predecessor; former duty
前年	the preceding year; the previous year; last year
前半	first half
前編	first volume; first part
前方	ahead; front
前面	facies anterior; frontage; facade; anterior surface; front; front face; anterior facies
前例	previous instance; precedent
前歴	one’s past record
善意	benevolence; bona fides
善戦	fighting a good fight; putting up a good fight; fighting bravely
全く	whole、entirely、wholly、all、altogether、completely、totally、absolutely、utterly、dead
全て	completely
全員	all the members
全開	full admission
全館	whole building
全景	complete view
全国	national
全国紙	national paper
全国的	nationally、nationwide、across the nation、across the country
全社	whole company
全身	whole body; whole‐body; body as a whole; total body
全盛	best days
全体	whole
全体像	global image; whole aspect; whole image
全的	total; complete
全土	whole land
全日本	All-Japan
全般	general
全部	whole
全文	full text; whole sentences
全米	all America
全編	whole book
全面	full face; full scale
全力	all one ?s power; all one ?s might
全力投球	give one's best、go all out、do one's best、give full measure
措置	action; measures; step
曽	Zeng
狙い	aim、purpose、function、role、use、target、aim、objective、object、aim
狙う	plan、be after、aim、drive、get、aim、go for、try for、direct、aim
狙撃	sniping
疎い	unacquainted with、unacquainted、unfamiliar with、alienated、estranged、distant、aloof、upstage
祖	origin、extraction、descent、ancestor、root、antecedent、ascendant、ascendent、forbear、forebear
祖国	mother country
租税	tax
租税回避	tax mitigation; avoidance of tax; tax avoidance
租税回避地	tax haven
粗末	coarse powder
素顔	natural face
素行	conduct
素材	matter; raw material; material
素人	amateur
素晴らしい	beautiful、splendid、glorious、resplendent、splendiferous、gorgeous、stunning、not bad、groovy、swell
素早く	spry、quick、nimble、agile、quick、speedy
素直	spare、plain、bare、unembellished、unornamented、accepting、square、straight、straightforward、obedient
素敵	attractive、better-looking、good-looking、handsome、well-favoured、well-favored、fine-looking、splendid、glorious、resplendent
組	set; class; group
組み合わせ	combination、combining、compounding、combination、combination、combination
組み合わせ	combine、compound、aggregate、combine、combine、compound、intermix、blend、intermingle、immingle
組み込も	integrate、incorporate、include、enter、introduce、infix、insert、incorporate、comprise、incorporate
組み方	way of constructing
組み立て	fabrication、assembly、organization、organisation、construction、building、assembly、structure、physical composition、make-up
組み立てる	set up、pitch、construct、manufacture、fabricate、make、make、build、construct、construct
組む	cross、hybridise、interbreed、hybridize、crossbreed、make、build、construct、tack together、put together
組織	structure; organization; system; texture; textus; tissue; tela; construction; formation
組織体	histological body; assembly
